Starting Funds,Action,0,0,Gain +1 Coin,2,,"(per player, so *4)",Tier 0,,Num tier 2 items:,5,Num tier 2 Action: ,7,Num tier 2 Ally: ,5,Num tier 2 DM: ,4,Events: 31
On the Move,Action,0,0,Gain +1 Movement,3,,"(per player, so *4)",,,Num tier 3 items:,5,Num tier 3 Action: ,7,Num tier 3 Ally: ,2,Num tier 3 DM: ,0,Starter: 44
Bow,Action,0,0,Deal 2 damage in 2 Range,1,,"(per player, so *4)",,,Total Items,#REF!,Total Actions,#REF!,Total Ally,#REF!,Total DM,#REF!,#REF!
Monster March,Dark Magic,0,0,The monster furthest from the kingdom that can move moves 2 spaces. Each move must result in the monster being closer to the kingdom‚ if possible. If not‚ each move cannot result in the monster being further.,1,,(per player‚ so *4),,,Total Tier 1:,#REF!,Total Tier 2,21,Total tier 3,14,,,
Pouch of Gold,Action,0,0,Gain +2 Coin,2,,(per player‚ so *4),,,,,,,,,,,
Monster Smash,Dark Magic,0,0,The monster closest to the kingdom that can attack attacks all in range.,1,,(per player‚ so *4),,,,,,,,,,,
Trusty Steed,Ally,0,0,Engage: Gain +1 Movement per turn,1,2,(per player‚ so *4),,,,,,,,,,,
Royal Squire,Ally,0,0,Engage: Deal 2 in 1 Range to any non-player,1,3,,,,,,,,,,,,
Javelin,Action,1,1,4 D/ 1 R or 2 D / 3R,2,,,Tier 1,,,,,,,,,,
Potion of Swiftness,Item - Consumable,1,2,Gain +2 movement or Trash this item to gain +4 movement,1,,,,,,,,,,,,,
Gharmins Battle Axe,Action,1,2,Deal 5 damage in 1 Range,1,,,,,,,,,,,,,
Snare,Item - Trap,1,2,Place onto a space in Range 2. Players or monsters who step in this trap lose one movement. Once used‚ discard,1,2,,,,,,,,,,,,
Potion of Health,Item - Consumable,1,2,Gain 2 health‚ or trash this card to gain 5 health,1,,,,,,,,,,,,,
Aspiring Guard,Ally,1,3,Engage: Deal 3 damage in 2 Range; Refresh: 1 coin,1,5,,1 open item slot,,,,,,,,,,
Novice Mage,Ally,1,3,Engage: Draw 1 card‚ then discard 1 card. Refresh: 1 coin,1,3,,2 open item slots,,,,,,,,,,
Bandage Up,Action,1,2,Heal an Ally for 3 health,1,,,,,,,,,,,,,
A Quick Buck,Action,1,2,Gain 2 coin‚ and 2 movement,1,,,,,,,,,,,,,
Entrepreneurship,Action,1,3,Gain 3 coin,1,,,,,,,,,,,,,
Caltrops,Item - Trap,1,1,Place onto a space in Range 3. Whenever a player or monster steps onto this trap‚ they take 4 damage,1,2,,,,,,,,,,,,
Buckler,Item - Equipment,1,2,Any time this ally would take damage‚ they take 1 less damage,1,,,,,,,,,,,,,
Flexible Curse,Dark Magic,1,3,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any monster that can move: that monster moves either 1 or 2 spaces. The monster must end at least one space closer to the kingdom.,2,,,,,,,,,,,,,
Wrathful Hex,Dark Magic,1,3,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any monster that can attack: it attacks all in range.,2,,,,,,,,,,,,,
